Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-201681,TCF dependent signaling in response to WNT,3,216,0.014672916,0.200553426,0.28008088,7,71,0.005366997,9606,Homo sapiens,ASH2L;BRCA1;YWHAZ,,R-HSA-201717;R-HSA-3769391;R-HSA-3769393;R-HSA-3364042;R-HSA-3364026;R-HSA-3769392;R-HSA-3364014
R-HSA-9615933,Postmitotic nuclear pore complex (NPC) reformation,1,32,0.002173765,0.204268769,0.28008088,6,10,7.56E-04,9606,Homo sapiens,NUP107,,R-HSA-9615937;R-HSA-9634219;R-HSA-9618378;R-HSA-9634169;R-HSA-9615945;R-HSA-9615901
R-HSA-210500,Glutamate Neurotransmitter Release Cycle,1,32,0.002173765,0.204268769,0.28008088,2,8,6.05E-04,9606,Homo sapiens,STX1A,,R-HSA-210426;R-HSA-210430
R-HSA-5689901,Metalloprotease DUBs,1,32,0.002173765,0.204268769,0.28008088,1,6,4.54E-04,9606,Homo sapiens,BRCA1,,R-HSA-5691411
R-HSA-8934593,Regulation of RUNX1 Expression and Activity,1,32,0.002173765,0.204268769,0.28008088,2,19,0.001436239,9606,Homo sapiens,CCND1,,R-HSA-8938867;R-HSA-8865320
R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,1,32,0.002173765,0.204268769,0.28008088,1,18,0.001360647,9606,Homo sapiens,RPS6KB2,,R-HSA-2399999
R-HSA-8878159,Transcriptional regulation by RUNX3,2,118,0.00801576,0.206018866,0.28008088,5,47,0.003552801,9606,Homo sapiens,CCND1,,R-HSA-8952058;R-HSA-8952062;R-HSA-8951442;R-HSA-8951443;R-HSA-8952069
R-HSA-174414,Processive synthesis on the C-strand of the telomere,1,33,0.002241696,0.209936731,0.28008088,7,7,5.29E-04,9606,Homo sapiens,TERF1,,R-HSA-174451;R-HSA-174438;R-HSA-174456;R-HSA-174441;R-HSA-174446;R-HSA-174444;R-HSA-174445
R-HSA-9006115,Signaling by NTRK2 (TRKB),1,33,0.002241696,0.209936731,0.28008088,5,38,0.002872477,9606,Homo sapiens,FRS2,,R-HSA-9032073;R-HSA-9028728;R-HSA-9028730;R-HSA-9031981;R-HSA-9032067
R-HSA-8866652,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,1,33,0.002241696,0.209936731,0.28008088,2,16,0.001209464,9606,Homo sapiens,UBE2C,,R-HSA-8852130;R-HSA-8852129
R-HSA-425410,Metal ion SLC transporters,1,33,0.002241696,0.209936731,0.28008088,1,20,0.00151183,9606,Homo sapiens,SLC39A4,,R-HSA-442422
R-HSA-195721,Signaling by WNT,4,332,0.022552816,0.213111969,0.28008088,9,157,0.011867866,9606,Homo sapiens,SCRIB;ASH2L;BRCA1;YWHAZ,,R-HSA-4608866;R-HSA-201717;R-HSA-3769391;R-HSA-4608862;R-HSA-3769393;R-HSA-3364042;R-HSA-3364026;R-HSA-3769392;R-HSA-3364014
R-HSA-171306,Packaging Of Telomere Ends,1,34,0.002309626,0.215564702,0.28008088,2,2,1.51E-04,9606,Homo sapiens,TERF1,,R-HSA-181450;R-HSA-176700
R-HSA-171319,Telomere Extension By Telomerase,1,34,0.002309626,0.215564702,0.28008088,8,10,7.56E-04,9606,Homo sapiens,TERF1,,R-HSA-163090;R-HSA-163120;R-HSA-163099;R-HSA-163096;R-HSA-9686521;R-HSA-164617;R-HSA-164620;R-HSA-9686524
R-HSA-5654700,FRS-mediated FGFR2 signaling,1,34,0.002309626,0.215564702,0.28008088,7,9,6.80E-04,9606,Homo sapiens,FRS2,,R-HSA-5654615;R-HSA-5654608;R-HSA-5654607;R-HSA-5654399;R-HSA-8941618;R-HSA-5654397;R-HSA-5654618
R-HSA-5654732,Negative regulation of FGFR3 signaling,1,34,0.002309626,0.215564702,0.28008088,3,14,0.001058281,9606,Homo sapiens,FRS2,,R-HSA-5654679;R-HSA-5654565;R-HSA-5654730
R-HSA-5654708,Downstream signaling of activated FGFR3,1,35,0.002377556,0.221152961,0.28008088,13,23,0.001738605,9606,Homo sapiens,FRS2,,R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654416;R-HSA-5654641;R-HSA-5654705;R-HSA-5654631;R-HSA-8941628;R-HSA-5654637;R-HSA-5654413;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409
R-HSA-5654733,Negative regulation of FGFR4 signaling,1,35,0.002377556,0.221152961,0.28008088,3,14,0.001058281,9606,Homo sapiens,FRS2,,R-HSA-5654566;R-HSA-5654734;R-HSA-5654684
R-HSA-418360,Platelet calcium homeostasis,1,35,0.002377556,0.221152961,0.28008088,1,8,6.05E-04,9606,Homo sapiens,ATP2A2,,R-HSA-418365
R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),1,36,0.002445486,0.226701787,0.28008088,1,1,7.56E-05,9606,Homo sapiens,NUP107,,R-HSA-5661474
R-HSA-5654716,Downstream signaling of activated FGFR4,1,36,0.002445486,0.226701787,0.28008088,13,23,0.001738605,9606,Homo sapiens,FRS2,,R-HSA-5654422;R-HSA-5654418;R-HSA-8941613;R-HSA-5654655;R-HSA-5654717;R-HSA-5654714;R-HSA-5654662;R-HSA-5654663;R-HSA-5654658;R-HSA-5654659;R-HSA-5654669;R-HSA-5654667;R-HSA-5654664
R-HSA-76046,RNA Polymerase III Transcription Initiation,1,36,0.002445486,0.226701787,0.28008088,3,13,9.83E-04,9606,Homo sapiens,BRF2,,R-HSA-83793;R-HSA-112152;R-HSA-83803
R-HSA-888590,"GABA synthesis, release, reuptake and degradation",1,36,0.002445486,0.226701787,0.28008088,2,10,7.56E-04,9606,Homo sapiens,STX1A,,R-HSA-888589;R-HSA-917744
R-HSA-114452,Activation of BH3-only proteins,1,36,0.002445486,0.226701787,0.28008088,2,19,0.001436239,9606,Homo sapiens,YWHAZ,,R-HSA-139906;R-HSA-139899
R-HSA-1483206,Glycerophospholipid biosynthesis,3,232,0.015759799,0.23016271,0.28008088,4,133,0.01005367,9606,Homo sapiens,AGPAT6;DDHD2;BRCA1,,R-HSA-549112;R-HSA-75885;R-HSA-6786650;R-HSA-8873929
R-HSA-373760,L1CAM interactions,2,130,0.008830922,0.237379961,0.28008088,2,54,0.004081941,9606,Homo sapiens,YTHDF1;BRCA1,,R-HSA-555065;R-HSA-392752
R-HSA-69190,DNA strand elongation,1,38,0.002581346,0.237682237,0.28008088,2,15,0.001133873,9606,Homo sapiens,GINS4,,R-HSA-176942;R-HSA-176956
R-HSA-159227,Transport of the SLBP independent Mature mRNA,1,39,0.002649277,0.243114407,0.28008088,3,3,2.27E-04,9606,Homo sapiens,NUP107,,R-HSA-158481;R-HSA-158484;R-HSA-111439
R-HSA-4085377,SUMOylation of SUMOylation proteins,1,39,0.002649277,0.243114407,0.28008088,2,5,3.78E-04,9606,Homo sapiens,NUP107,,R-HSA-4551649;R-HSA-4551679
R-HSA-6804758,Regulation of TP53 Activity through Acetylation,1,39,0.002649277,0.243114407,0.28008088,4,14,0.001058281,9606,Homo sapiens,MYST3,,R-HSA-6805638;R-HSA-6805620;R-HSA-6805650;R-HSA-6805640
R-HSA-5654726,Negative regulation of FGFR1 signaling,1,39,0.002649277,0.243114407,0.28008088,3,15,0.001133873,9606,Homo sapiens,FRS2,,R-HSA-5654672;R-HSA-5654560;R-HSA-5654673
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,1,39,0.002649277,0.243114407,0.28008088,2,10,7.56E-04,9606,Homo sapiens,TERF1,,R-HSA-9629195;R-HSA-9629373
R-HSA-8939243,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,1,39,0.002649277,0.243114407,0.28008088,1,5,3.78E-04,9606,Homo sapiens,BRCA1,,R-HSA-8937989
R-HSA-917977,Transferrin endocytosis and recycling,1,39,0.002649277,0.243114407,0.28008088,2,11,8.32E-04,9606,Homo sapiens,ATP6V1C1,,R-HSA-5252133;R-HSA-917841
R-HSA-176187,Activation of ATR in response to replication stress,1,39,0.002649277,0.243114407,0.28008088,1,9,6.80E-04,9606,Homo sapiens,RAD9A,,R-HSA-176264
R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,1,40,0.002717207,0.248508234,0.28008088,3,3,2.27E-04,9606,Homo sapiens,NUP107,,R-HSA-77587;R-HSA-159046;R-HSA-159050
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,1,40,0.002717207,0.248508234,0.28008088,1,2,1.51E-04,9606,Homo sapiens,CCNE2,,R-HSA-390470
R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,1,40,0.002717207,0.248508234,0.28008088,1,5,3.78E-04,9606,Homo sapiens,NUP107,,R-HSA-170796
R-HSA-8964539,Glutamate and glutamine metabolism,1,40,0.002717207,0.248508234,0.28008088,1,14,0.001058281,9606,Homo sapiens,PYCRL,,R-HSA-6783955
R-HSA-3371556,Cellular response to heat stress,2,135,0.009170573,0.250534047,0.28008088,23,29,0.002192154,9606,Homo sapiens,NUP107;HSF1,,R-HSA-5082409;R-HSA-5082405;R-HSA-5324632;R-HSA-5333051;R-HSA-5082369;R-HSA-4793925;R-HSA-3371518;R-HSA-3371582;R-HSA-3371554;R-HSA-3371586;R-HSA-4793819;R-HSA-3371591;R-HSA-3371527;R-HSA-3371467;R-HSA-3371435;R-HSA-3371531;R-HSA-5324617;R-HSA-5082356;R-HSA-5252041;R-HSA-5082391;R-HSA-5082384;R-HSA-4793911;R-HSA-5082387
R-HSA-180746,Nuclear import of Rev protein,1,41,0.002785137,0.253863987,0.28008088,2,7,5.29E-04,9606,Homo sapiens,NUP107,,R-HSA-180710;R-HSA-180732
R-HSA-5654727,Negative regulation of FGFR2 signaling,1,41,0.002785137,0.253863987,0.28008088,3,14,0.001058281,9606,Homo sapiens,FRS2,,R-HSA-5654677;R-HSA-5654562;R-HSA-5654729
R-HSA-5357905,Regulation of TNFR1 signaling,1,41,0.002785137,0.253863987,0.28008088,1,17,0.001285056,9606,Homo sapiens,SHARPIN,,R-HSA-5661517
R-HSA-2219528,PI3K/AKT Signaling in Cancer,2,137,0.009306433,0.255803098,0.28008088,2,21,0.001587422,9606,Homo sapiens,RPS6KB2;FRS2,,R-HSA-2399999;R-HSA-2400009
R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,1,42,0.002853067,0.259181931,0.28008088,2,2,1.51E-04,9606,Homo sapiens,NUP107,,R-HSA-2990880;R-HSA-2990882
R-HSA-5654696,Downstream signaling of activated FGFR2,1,42,0.002853067,0.259181931,0.28008088,13,23,0.001738605,9606,Homo sapiens,FRS2,,R-HSA-5654614;R-HSA-5654615;R-HSA-5654612;R-HSA-5654608;R-HSA-5654622;R-HSA-5654399;R-HSA-5654620;R-HSA-5654397;R-HSA-5654618;R-HSA-5654607;R-HSA-8941618;R-HSA-5654701;R-HSA-5654697
R-HSA-5654687,Downstream signaling of activated FGFR1,1,42,0.002853067,0.259181931,0.28008088,13,24,0.001814196,9606,Homo sapiens,FRS2,,R-HSA-5654591;R-HSA-5654586;R-HSA-5654587;R-HSA-5654584;R-HSA-5654392;R-HSA-5654692;R-HSA-5654596;R-HSA-5654594;R-HSA-5654690;R-HSA-5654592;R-HSA-5654575;R-HSA-8941623;R-HSA-5654569
R-HSA-5655332,Signaling by FGFR3 in disease,1,42,0.002853067,0.259181931,0.28008088,14,28,0.002116562,9606,Homo sapiens,FRS2,,R-HSA-8853316;R-HSA-5655285;R-HSA-8853315;R-HSA-8853314;R-HSA-5655315;R-HSA-5655262;R-HSA-5655295;R-HSA-8853323;R-HSA-5655289;R-HSA-5655270;R-HSA-8853310;R-HSA-8853308;R-HSA-5655277;R-HSA-8853307
R-HSA-8853338,Signaling by FGFR3 point mutants in cancer,1,42,0.002853067,0.259181931,0.28008088,7,19,0.001436239,9606,Homo sapiens,FRS2,,R-HSA-5655270;R-HSA-5655285;R-HSA-5655315;R-HSA-5655262;R-HSA-5655295;R-HSA-5655277;R-HSA-5655289
R-HSA-187687,Signalling to ERKs,1,42,0.002853067,0.259181931,0.28008088,5,32,0.002418928,9606,Homo sapiens,FRS2,,R-HSA-170978;R-HSA-170979;R-HSA-170977;R-HSA-170964;R-HSA-170975
R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,1,42,0.002853067,0.259181931,0.28008088,1,21,0.001587422,9606,Homo sapiens,TERF1,,R-HSA-9629372
R-HSA-68882,Mitotic Anaphase,3,249,0.016914612,0.262450559,0.28008088,13,32,0.002418928,9606,Homo sapiens,NUP107;ESPL1;UBE2C,,R-HSA-174144;R-HSA-2467809;R-HSA-2467811;R-HSA-9634169;R-HSA-174121;R-HSA-9615901;R-HSA-2467798;R-HSA-9615937;R-HSA-9634219;R-HSA-9618378;R-HSA-174202;R-HSA-2467775;R-HSA-9615945
R-HSA-2555396,Mitotic Metaphase and Anaphase,3,250,0.016982542,0.264369822,0.28008088,13,33,0.00249452,9606,Homo sapiens,NUP107;ESPL1;UBE2C,,R-HSA-174144;R-HSA-2467809;R-HSA-2467811;R-HSA-9634169;R-HSA-174121;R-HSA-9615901;R-HSA-2467798;R-HSA-9615937;R-HSA-9634219;R-HSA-9618378;R-HSA-174202;R-HSA-2467775;R-HSA-9615945
R-HSA-3371511,HSF1 activation,1,43,0.002920997,0.26446233,0.28008088,7,7,5.29E-04,9606,Homo sapiens,HSF1,,R-HSA-3371586;R-HSA-4793819;R-HSA-5082409;R-HSA-3371591;R-HSA-3371527;R-HSA-5324632;R-HSA-5082391
R-HSA-3232142,SUMOylation of ubiquitinylation proteins,1,43,0.002920997,0.26446233,0.28008088,1,3,2.27E-04,9606,Homo sapiens,NUP107,,R-HSA-5228523
R-HSA-8853659,RET signaling,1,43,0.002920997,0.26446233,0.28008088,1,24,0.001814196,9606,Homo sapiens,FRS2,,R-HSA-8855564
R-HSA-180910,Vpr-mediated nuclear import of PICs,1,44,0.002988927,0.269705448,0.28008088,1,2,1.51E-04,9606,Homo sapiens,NUP107,,R-HSA-180622
R-HSA-165054,Rev-mediated nuclear export of HIV RNA,1,44,0.002988927,0.269705448,0.28008088,2,10,7.56E-04,9606,Homo sapiens,NUP107,,R-HSA-165043;R-HSA-165047
R-HSA-187037,Signaling by NTRK1 (TRKA),2,143,0.009714014,0.271620803,0.28008088,6,102,0.007710333,9606,Homo sapiens,YTHDF1;FRS2,,R-HSA-170978;R-HSA-170979;R-HSA-170977;R-HSA-170964;R-HSA-170975;R-HSA-177501
R-HSA-110331,Cleavage of the damaged purine,1,45,0.003056858,0.274911545,0.28008088,2,9,6.80E-04,9606,Homo sapiens,TERF1,,R-HSA-9629216;R-HSA-9629483
R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,1,45,0.003056858,0.274911545,0.28008088,1,11,8.32E-04,9606,Homo sapiens,BRCA1,,R-HSA-6814409
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,3,256,0.017390123,0.275921661,0.28008088,30,32,0.002418928,9606,Homo sapiens,TPD52;NUP107;CPSF1,,R-HSA-8849157;R-HSA-72130;R-HSA-159046;R-HSA-75079;R-HSA-159050;R-HSA-75081;R-HSA-75080;R-HSA-72139;R-HSA-75083;R-HSA-75082;R-HSA-72143;R-HSA-111439;R-HSA-77587;R-HSA-158481;R-HSA-158484;R-HSA-75097;R-HSA-75096;R-HSA-77594;R-HSA-75098;R-HSA-72160;R-HSA-72231;R-HSA-72107;R-HSA-158441;R-HSA-158447;R-HSA-72180;R-HSA-156661;R-HSA-72185;R-HSA-72124;R-HSA-72127;R-HSA-159101
R-HSA-157118,Signaling by NOTCH,3,258,0.017525983,0.279784657,0.28008088,5,154,0.011641092,9606,Homo sapiens,CCND1;ATP2A2;YWHAZ,,R-HSA-9604387;R-HSA-9604308;R-HSA-4395227;R-HSA-1912374;R-HSA-1912416
R-HSA-177243,Interactions of Rev with host cellular proteins,1,46,0.003124788,0.28008088,0.28008088,4,16,0.001209464,9606,Homo sapiens,NUP107,,R-HSA-165043;R-HSA-180710;R-HSA-165047;R-HSA-180732
R-HSA-749476,RNA Polymerase III Abortive And Retractive Initiation,1,46,0.003124788,0.28008088,0.28008088,3,13,9.83E-04,9606,Homo sapiens,BRF2,,R-HSA-112054;R-HSA-112152;R-HSA-112156
R-HSA-73927,Depurination,1,46,0.003124788,0.28008088,0.28008088,4,19,0.001436239,9606,Homo sapiens,TERF1,,R-HSA-9629216;R-HSA-9629483;R-HSA-9629195;R-HSA-9629373
R-HSA-74158,RNA Polymerase III Transcription,1,46,0.003124788,0.28008088,0.28008088,5,25,0.001889788,9606,Homo sapiens,BRF2,,R-HSA-83793;R-HSA-112054;R-HSA-112152;R-HSA-83803;R-HSA-112156
R-HSA-168276,NS1 Mediated Effects on Host Pathways,1,46,0.003124788,0.28008088,0.28008088,1,6,4.54E-04,9606,Homo sapiens,NUP107,,R-HSA-1176059
R-HSA-3371568,Attenuation phase,1,47,0.003192718,0.28521371,0.28521371,5,5,3.78E-04,9606,Homo sapiens,HSF1,,R-HSA-3371554;R-HSA-5324617;R-HSA-5082369;R-HSA-3371582;R-HSA-5082384
R-HSA-176033,Interactions of Vpr with host cellular proteins,1,47,0.003192718,0.28521371,0.28521371,1,4,3.02E-04,9606,Homo sapiens,NUP107,,R-HSA-180622
R-HSA-9646399,Aggrephagy,1,47,0.003192718,0.28521371,0.28521371,2,15,0.001133873,9606,Homo sapiens,HSF1,,R-HSA-9646354;R-HSA-9646347
R-HSA-8878171,Transcriptional regulation by RUNX1,3,261,0.017729774,0.285589147,0.285589147,15,132,0.009978078,9606,Homo sapiens,CCND1;ASH2L;BRCA1,,R-HSA-8936616;R-HSA-8937097;R-HSA-8937037;R-HSA-8936621;R-HSA-8936481;R-HSA-8936995;R-HSA-8937989;R-HSA-8865320;R-HSA-8937016;R-HSA-8937050;R-HSA-8935740;R-HSA-8936979;R-HSA-8935731;R-HSA-8938867;R-HSA-8936628
R-HSA-69206,G1/S Transition,2,150,0.010189525,0.290064426,0.290064426,14,61,0.004611082,9606,Homo sapiens,CCNE2;CCND1,,R-HSA-188386;R-HSA-187552;R-HSA-187520;R-HSA-188390;R-HSA-69191;R-HSA-69195;R-HSA-69199;R-HSA-157906;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-8848414;R-HSA-69562;R-HSA-188350
R-HSA-9670095,Inhibition of DNA recombination at telomere,1,48,0.003260648,0.29031029,0.29031029,3,4,3.02E-04,9606,Homo sapiens,TERF1,,R-HSA-9670114;R-HSA-9670149;R-HSA-9670101
R-HSA-168271,Transport of Ribonucleoproteins into the Host Nucleus,1,48,0.003260648,0.29031029,0.29031029,1,4,3.02E-04,9606,Homo sapiens,NUP107,,R-HSA-168337
R-HSA-6811438,Intra-Golgi traffic,1,48,0.003260648,0.29031029,0.29031029,1,10,7.56E-04,9606,Homo sapiens,STX16,,R-HSA-6811433
R-HSA-3214841,PKMTs methylate histone lysines,1,49,0.003328578,0.295370874,0.295370874,3,22,0.001663013,9606,Homo sapiens,ASH2L,,R-HSA-5637686;R-HSA-5159245;R-HSA-5244692
R-HSA-4615885,SUMOylation of DNA replication proteins,1,50,0.003396508,0.300395714,0.300395714,2,8,6.05E-04,9606,Homo sapiens,NUP107,,R-HSA-5228525;R-HSA-4655355
R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",1,50,0.003396508,0.300395714,0.300395714,2,38,0.002872477,9606,Homo sapiens,YWHAZ,,R-HSA-912757;R-HSA-914182
R-HSA-9018519,Estrogen-dependent gene expression,2,154,0.010461246,0.30058306,0.30058306,5,66,0.004989039,9606,Homo sapiens,CCND1,,R-HSA-9009065;R-HSA-9009371;R-HSA-9011949;R-HSA-9011952;R-HSA-9009378
R-HSA-174417,Telomere C-strand (Lagging Strand) Synthesis,1,51,0.003464439,0.30538506,0.30538506,15,18,0.001360647,9606,Homo sapiens,TERF1,,R-HSA-174438;R-HSA-174439;R-HSA-9668597;R-HSA-174441;R-HSA-174446;R-HSA-174447;R-HSA-174444;R-HSA-174445;R-HSA-174451;R-HSA-174448;R-HSA-174452;R-HSA-174427;R-HSA-174456;R-HSA-174425;R-HSA-176702
R-HSA-5654743,Signaling by FGFR4,1,51,0.003464439,0.30538506,0.30538506,16,41,0.003099252,9606,Homo sapiens,FRS2,,R-HSA-5654422;R-HSA-5654418;R-HSA-8941613;R-HSA-5654655;R-HSA-5654684;R-HSA-5654717;R-HSA-5654714;R-HSA-5654662;R-HSA-5654566;R-HSA-5654663;R-HSA-5654658;R-HSA-5654659;R-HSA-5654734;R-HSA-5654669;R-HSA-5654667;R-HSA-5654664
R-HSA-4570464,SUMOylation of RNA binding proteins,1,51,0.003464439,0.30538506,0.30538506,1,4,3.02E-04,9606,Homo sapiens,NUP107,,R-HSA-4570493
R-HSA-75893,TNF signaling,1,51,0.003464439,0.30538506,0.30538506,3,32,0.002418928,9606,Homo sapiens,SHARPIN,,R-HSA-5357776;R-HSA-5357904;R-HSA-5661517
R-HSA-3928662,EPHB-mediated forward signaling,1,51,0.003464439,0.30538506,0.30538506,2,26,0.001965379,9606,Homo sapiens,ASH2L,,R-HSA-3928617;R-HSA-3928612
R-HSA-165159,MTOR signalling,1,51,0.003464439,0.30538506,0.30538506,2,29,0.002192154,9606,Homo sapiens,EIF4EBP1,,R-HSA-165692;R-HSA-165708
R-HSA-110329,Cleavage of the damaged pyrimidine ,1,51,0.003464439,0.30538506,0.30538506,1,20,0.00151183,9606,Homo sapiens,TERF1,,R-HSA-9629497
R-HSA-73928,Depyrimidination,1,51,0.003464439,0.30538506,0.30538506,2,41,0.003099252,9606,Homo sapiens,TERF1,,R-HSA-9629497;R-HSA-9629372
R-HSA-73887,Death Receptor Signalling,2,158,0.010732967,0.311077465,0.311077465,4,93,0.00703001,9606,Homo sapiens,SHARPIN;ASH2L,,R-HSA-5357776;R-HSA-5357904;R-HSA-5661517;R-HSA-205039
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,1,53,0.003600299,0.315258261,0.315258261,1,2,1.51E-04,9606,Homo sapiens,NUP107,,R-HSA-168880
R-HSA-5654741,Signaling by FGFR3,1,53,0.003600299,0.315258261,0.315258261,16,43,0.003250435,9606,Homo sapiens,FRS2,,R-HSA-5654679;R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654416;R-HSA-5654641;R-HSA-5654705;R-HSA-5654631;R-HSA-5654565;R-HSA-8941628;R-HSA-5654637;R-HSA-5654413;R-HSA-5654730;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409
R-HSA-3214858,RMTs methylate histone arginines,1,53,0.003600299,0.315258261,0.315258261,6,22,0.001663013,9606,Homo sapiens,CCND1,,R-HSA-3215426;R-HSA-5216234;R-HSA-5205799;R-HSA-3215385;R-HSA-5205861;R-HSA-5661117
R-HSA-194840,Rho GTPase cycle,2,160,0.010868827,0.316313407,0.316313407,2,12,9.07E-04,9606,Homo sapiens,ASH2L;SRGAP1,,R-HSA-194913;R-HSA-194922
R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,1,54,0.003668229,0.320142607,0.320142607,5,5,3.78E-04,9606,Homo sapiens,CCND1,,R-HSA-75825;R-HSA-75824;R-HSA-75820;R-HSA-75823;R-HSA-75822
R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,1,54,0.003668229,0.320142607,0.320142607,1,5,3.78E-04,9606,Homo sapiens,NUP107,,R-HSA-168880
R-HSA-8856828,Clathrin-mediated endocytosis,2,162,0.011004687,0.321540732,0.321540732,11,35,0.002645703,9606,Homo sapiens,YTHDF1;CTTN,,R-HSA-8868230;R-HSA-8868661;R-HSA-8868660;R-HSA-8868659;R-HSA-8868658;R-HSA-8869438;R-HSA-8868236;R-HSA-8868651;R-HSA-8871194;R-HSA-8871193;R-HSA-8868648
R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network,1,55,0.003736159,0.324992442,0.324992442,8,20,0.00151183,9606,Homo sapiens,STX16,,R-HSA-6811431;R-HSA-6814678;R-HSA-6814676;R-HSA-6814674;R-HSA-6814671;R-HSA-6814684;R-HSA-6814683;R-HSA-6814682
R-HSA-437239,Recycling pathway of L1,1,55,0.003736159,0.324992442,0.324992442,1,14,0.001058281,9606,Homo sapiens,YTHDF1,,R-HSA-555065
R-HSA-72165,mRNA Splicing - Minor Pathway,1,56,0.003804089,0.329808007,0.329808007,5,5,3.78E-04,9606,Homo sapiens,TPD52,,R-HSA-75079;R-HSA-75081;R-HSA-75080;R-HSA-75083;R-HSA-75082
R-HSA-166520,Signaling by NTRKs,2,166,0.011276408,0.331966352,0.331966352,11,164,0.012397007,9606,Homo sapiens,YTHDF1;FRS2,,R-HSA-170978;R-HSA-9032073;R-HSA-170979;R-HSA-9028728;R-HSA-170977;R-HSA-9028730;R-HSA-9031981;R-HSA-170964;R-HSA-9032067;R-HSA-170975;R-HSA-177501
R-HSA-9604323,Negative regulation of NOTCH4 signaling,1,57,0.00387202,0.334589543,0.334589543,1,6,4.54E-04,9606,Homo sapiens,YWHAZ,,R-HSA-9604387
R-HSA-5693571,Nonhomologous End-Joining (NHEJ),1,57,0.00387202,0.334589543,0.334589543,1,13,9.83E-04,9606,Homo sapiens,BRCA1,,R-HSA-5686685
R-HSA-5688426,Deubiquitination,3,288,0.019563888,0.338129614,0.338129614,5,77,0.005820546,9606,Homo sapiens,ADRM1;VDAC3;BRCA1,,R-HSA-5689539;R-HSA-5691411;R-HSA-5665854;R-HSA-5665871;R-HSA-5696872
R-HSA-199991,Membrane Trafficking,6,666,0.045241492,0.339276143,0.339276143,28,219,0.016554539,9606,Homo sapiens,TPD52;YTHDF1;CTTN;KIFC2;STX16;YWHAZ,,R-HSA-6811431;R-HSA-8868230;R-HSA-421831;R-HSA-6811426;R-HSA-421836;R-HSA-8868236;R-HSA-1445149;R-HSA-421835;R-HSA-6811433;R-HSA-421833;R-HSA-8871194;R-HSA-8871193;R-HSA-6814671;R-HSA-8868651;R-HSA-8868648;R-HSA-6814678;R-HSA-8868661;R-HSA-8868660;R-HSA-6814676;R-HSA-8868659;R-HSA-8868658;R-HSA-6814674;R-HSA-1454689;R-HSA-6811423;R-HSA-8869438;R-HSA-6814684;R-HSA-6814683;R-HSA-6814682
R-HSA-5655302,Signaling by FGFR1 in disease,1,58,0.00393995,0.339337287,0.339337287,7,35,0.002645703,9606,Homo sapiens,FRS2,,R-HSA-5655269;R-HSA-5655266;R-HSA-5655326;R-HSA-5655278;R-HSA-5655263;R-HSA-5655290;R-HSA-5655240
R-HSA-109704,PI3K Cascade,1,58,0.00393995,0.339337287,0.339337287,1,6,4.54E-04,9606,Homo sapiens,FRS2,,R-HSA-109699
R-HSA-9609507,Protein localization,2,170,0.011548129,0.342348197,0.342348197,8,53,0.00400635,9606,Homo sapiens,GDAP1;STX1A,,R-HSA-9609921;R-HSA-9609860;R-HSA-9610442;R-HSA-9609899;R-HSA-9603784;R-HSA-9603775;R-HSA-9603804;R-HSA-9609917
R-HSA-3371571,HSF1-dependent transactivation,1,59,0.00400788,0.344051476,0.344051476,8,8,6.05E-04,9606,Homo sapiens,HSF1,,R-HSA-3371554;R-HSA-5082405;R-HSA-5324617;R-HSA-5082356;R-HSA-5082369;R-HSA-3371582;R-HSA-5082384;R-HSA-5082387
R-HSA-9639288,Amino acids regulate mTORC1,1,61,0.00414374,0.353380126,0.353380126,8,12,9.07E-04,9606,Homo sapiens,ATP6V1C1,,R-HSA-9640195;R-HSA-9640167;R-HSA-9639286;R-HSA-9646468;R-HSA-9640168;R-HSA-9645608;R-HSA-9640175;R-HSA-9645598
